REALM,PROVINCE,ECOREGION,country_name,Species,mean_prod,n_eco,mean_prod_ecoreg,status
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Scotian Shelf,Canada,Salmo salar,76496.9,5,15299.38,Native
Temperate Northern Pacific,Cold Temperate Northeast Pacific,Puget Trough/Georgia Basin,Canada,Salmo salar,76496.9,5,15299.38,Introduced
Temperate South America,Magellanic,Channels and Fjords of Southern Chile,Chile,Salmo salar,394379.1,2,59156.865,Introduced
Temperate South America,Magellanic,Chiloense,Chile,Salmo salar,394379.1,2,335222.235,Introduced
Temperate Northern Atlantic,Northern European Seas,Faroe Plateau,Faroe Islands,Salmo salar,62078.5,1,62078.5,Native
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,France,Salmo salar,667,2,1.558110111,Native
Temperate Northern Atlantic,Northern European Seas,North Sea,France,Salmo salar,667,2,246.0363039,Native
Temperate Northern Atlantic,Northern European Seas,South and West Iceland,Iceland,Salmo salar,100.3333333,1,100.3333333,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,Ireland,Salmo salar,11958.55,1,11958.55,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,"Korea, Dem. People's Rep",Salmo salar,13.88888889,1,13.88888889,Introduced
Temperate Northern Atlantic,Northern European Seas,Northern Norway and Finnmark,Norway,Salmo salar,1054496.75,2,679419.2958,Native
Temperate Northern Atlantic,Northern European Seas,Southern Norway,Norway,Salmo salar,1054496.75,2,851359.5601,Native
Temperate Northern Atlantic,Black Sea,Black Sea,Russian Federation,Salmo salar,8937.1,4,2234.275,Introduced
Arctic,Arctic,White Sea,Russian Federation,Salmo salar,8937.1,4,2234.275,Native
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Okhotsk,Russian Federation,Salmo salar,8937.1,4,2234.275,Introduced
Temperate Northern Pacific,Cold Temperate Northwest Pacific,Sea of Japan/East Sea,Russian Federation,Salmo salar,8937.1,4,2234.275,Introduced
Temperate Northern Atlantic,Lusitanian,South European Atlantic Shelf,Spain,Salmo salar,20.9947,1,20.9947,Native
Temperate Northern Atlantic,Northern European Seas,Baltic Sea,Sweden,Salmo salar,1.666666667,1,1.666666667,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,United Kingdom,Salmo salar,155714.678,1,155714.678,Native
Temperate Northern Pacific,Cold Temperate Northeast Pacific,"Oregon, Washington, Vancouver Coast and Shelf",United States of America,Salmo salar,17170.3,3,5723.433333,Introduced
Temperate Northern Pacific,Cold Temperate Northeast Pacific,Northern California,United States of America,Salmo salar,17170.3,3,5723.433333,Introduced
Temperate Northern Atlantic,Cold Temperate Northwest Atlantic,Gulf of Maine/Bay of Fundy,United States of America,Salmo salar,17170.3,3,5723.433333,Native
Temperate Northern Atlantic,Northern European Seas,Celtic Seas,France,Salmo salar,667,2,419.405586,Native
Temperate Northern Pacific,Warm Temperate Northwest Pacific,East China Sea,China,Sciaenops ocellatus,60190.3,3,22952.18857,Introduced
